pergunta,categoria
Quero pedir um cartão novo,Cartão
Quero solicitar um cartão de crédito novo.,Cartão
Como faço para solicitar a segunda via do meu cartão?,Cartão
perdi meu cartao oq eu faco,Cartão
Meu cartão não chegou qual o prazo de entrega?,Cartão
O cartão que eu pedi ainda não foi entregue na minha residência.,Cartão
Gostaria de saber os benefícios do cartão Platinum.,Cartão
Existe a cobrança de anuidade neste cartão?,Cartão
É possível ter um cartão adicional para o meu filho?,Cartão
como pede cartao adicional,Cartão
O cartão possui tecnologia de aproximação?,Cartão
meu cartao ta bloqueado cm q desbloqueia,Cartão
Preciso bloquear meu cartão temporariamente.,Cartão
cartao quebrou manda outro,Cartão
Como altero a senha do meu cartão de crédito?,Cartão
Esqueci a senha do meu cartão de crédito.,Cartão
Posso usar meu cartão no exterior?,Cartão
vou viajar pro chile o cartao passa la,Cartão
Qual a taxa de juros do rotativo do cartão?,Cartão
Por que meu cartão foi recusado hoje durante uma compra?,Cartão
Onde vejo o código de segurança do cartão?,Cartão
cvc do cartao onde fica,Cartão
Como desativar o pagamento por aproximação?,Cartão
Não quero mais utilizar a função de pagamento por aproximação.,Cartão
O cartão virtual tem a mesma validade do físico?,Cartão
como cria cartao virtual p comprar na net,Cartão
Fui roubado e levaram meu cartão cancele por favor.,Cartão
roubaram meu cartao bloqueia pfv,Cartão
Há alguma promoção de cashback ativa para este cartão?,Cartão
O cartão possui algum programa de cashback?,Cartão
Qual a bandeira do cartão que vocês emitem?,Cartão
q bandeira q é o cartao de vcs,Cartão
Posso personalizar o nome impresso no cartão?,Cartão
qro mudar o nome no cartao,Cartão
Gostaria de receber minha fatura por e-mail.,Fatura
manda a fatura no meu email,Fatura
Como faço para antecipar o pagamento da fatura?,Fatura
Quero realizar o pagamento da minha fatura antes do vencimento.,Fatura
Minha fatura fechou com valor errado.,Fatura
valor da fatura ta mt alto n reconheco,Fatura
Qual o dia de fechamento da minha fatura?,Fatura
q dia fecha a fatura,Fatura
Preciso da segunda via da fatura deste mês.,Fatura
Gostaria de solicitar a segunda via da minha fatura atual.,Fatura
Não recebi o código de barras para pagar a fatura.,Fatura
kd o boleto da fatura,Fatura
Como altero a data de vencimento da minha fatura?,Fatura
qro mudar o vencimento da fatura pro dia 10,Fatura
Posso parcelar a minha fatura deste mês?,Fatura
É possível realizar o parcelamento da fatura em três vezes?,Fatura
O pagamento da fatura ainda não constou no sistema.,Fatura
paguei a fatura ontem e ainda n liberou,Fatura
Qual o valor mínimo da minha fatura atual?,Fatura
qual o minimo da fatura,Fatura
Onde consigo visualizar as faturas dos meses anteriores?,Fatura
Gostaria de consultar as faturas dos meses que já passaram.,Fatura
Cobraram uma taxa estranha na minha fatura.,Fatura
q taxa e essa na minha fatura q n sei,Fatura
Gostaria de contestar uma compra na minha fatura.,Fatura
n fiz essa compra da fatura,Fatura
Se eu pagar a fatura hoje quando libera o limite?,Fatura
paga fatura no fds libera qnd,Fatura
Como habilitar o débito automático da fatura?,Fatura
Gostaria de programar a fatura em débito automático na minha conta.,Fatura
A fatura pode ser paga em qualquer banco?,Fatura
posso pagar fatura na loterica,Fatura
Existe alguma multa por atraso no pagamento da fatura?,Fatura
Gostaria de solicitar um aumento de limite.,Limite
aumenta meu limite pfv,Limite
Qual o meu limite de crédito atual?,Limite
Gostaria de consultar o valor do meu limite de crédito aprovado.,Limite
Meu limite foi reduzido sem aviso prévio.,Limite
pq diminuiram meu limite do nada,Limite
Como faço para transferir limite entre cartões?,Limite
É possível transferir o limite de um cartão para o outro?,Limite
É possível ter limite emergencial?,Limite
to precisando de limite emergencial hj,Limite
Quanto tempo demora para aprovarem o aumento de limite?,Limite
Qual é o prazo médio de análise para aumentar o limite?,Limite
Posso usar meu limite para fazer um PIX?,Limite
da pra fazer pix com o limite do cartao,Limite
Meu limite está negativo o que significa?,Limite
limite negativo como assim,Limite
Gostaria de diminuir o meu limite de crédito por segurança.,Limite
qro abaixar meu limite,Limite
Como funciona a avaliação de aumento de limite?,Limite
Quais são os critérios que vocês analisam para conceder mais limite?,Limite
Consigo ver o limite disponível pelo aplicativo?,Limite
onde vejo o limite no app,Limite
O limite do cartão adicional desconta do meu?,Limite
Os gastos do cartão adicional consomem o meu limite principal?,Limite
Qual o limite máximo que o banco oferece?,Limite
ql o maior limite q vcs dao,Limite
Fiz um pagamento mas o limite não foi restituído.,Limite
paguei e o limite n voltou pq,Limite
Posso pedir aumento de limite todo mês?,Limite
Existe um intervalo de tempo mínimo para pedir mais limite?,Limite
Preciso de mais limite para uma viagem internacional.,Limite
vou viajar libera mais limite ai,Limite
O limite para saque é diferente do limite para compras?,Limite
pergunta,categoria
Como peço um cartão de crédito novo?,Cartão
qro solicitar um cartao,Cartão
Onde vejo o status de entrega do cartão?,Cartão
meu cartao n chegou kd,Cartão
Quero a segunda via do cartão.,Cartão
perdi o cartao manda outro,Cartão
Quais os benefícios da variante Black?,Cartão
esse cartao tem anuidade?,Cartão
Como solicito cartão adicional pra minha esposa?,Cartão
qro um cartao pro meu filho,Cartão
O cartão tem aproximação?,Cartão
como q desativa a aproximacao do cartao,Cartão
Preciso bloquear o cartão rápido.,Cartão
roubaram meu cartao bloqueia,Cartão
Como mudar a senha do cartão?,Cartão
esqueci a senha do cartao de credito,Cartão
Posso comprar em dólar com esse cartão?,Cartão
vou pros eua o cartao funciona,Cartão
Qual o juros do rotativo?,Cartão
pq meu cartao n passou no mercado,Cartão
Onde fica o CVV?,Cartão
kd o codigo de seguranca q pede na compra,Cartão
Quero desativar compras online.,Cartão
como faz cartao virtual,Cartão
O cartão virtual expira?,Cartão
como exclui o cartao virtual,Cartão
Fui furtado cancelem o cartão.,Cartão
qro cancelar meu cartao de credito,Cartão
Tem programa de pontos?,Cartão
esse cartao da milhas,Cartão
Qual é a bandeira do cartão?,Cartão
a bandeira é master ou visa,Cartão
Posso por apelido no cartão impresso?,Cartão
quero trocar o nome q ta no cartao,Cartão
Quero pedir um cartão novo,Cartão
Quero visualizar minha fatura.,Fatura
onde vejo a fatura,Fatura
Como antecipar a fatura?,Fatura
qro pagar a fatura antes,Fatura
O valor da fatura está errado.,Fatura
fatura veio mt cara ta errado,Fatura
Qual o dia que a fatura fecha?,Fatura
que dia corta a fatura,Fatura
Preciso do PDF da fatura.,Fatura
manda a fatura no zika do zap,Fatura
